Arquivo PDF;Numero NF;Código Produto;Descrição;Unidade;Quantidade;Valor Unitário;Valor Total;Data de Emissao
0758686 - OV_13196696.pdf;113196696;1C00309M1;1C00309M1 CAMISA POLO MASCULINA MANGA CURTA GG ­ PRETO 61112000 000 5557 UN 25 40,84 1.021,00 1.021,00 183,78;102.100;25;40.84;1.021.00;03/07/2025
0758686 - OV_13196696.pdf;113196696;1C00309M2;1C00309M2 CAMISA POLO MASCULINA MANGA CURTA G ­ PRETO 61112000 000 5557 UN 25 40,84 1.021,00 1.021,00 183,78;102.100;25;40.84;1.021.00;03/07/2025
0760753 - OV_13302900.pdf;113302900;1C00151M6;1C00151M6 MOCHILA PARA FERRAMENTAS E NOTEBOOK EM NYLON 1680 42021220 000 5557 UN 21 148,10 3.110,10 3.110,10 559,82;311.010;21;148.10;3.110.10;28/07/2025
0760753 - OV_13302900.pdf;113302900;1P02136M3;1P02136M3 PEN DRIVE 32GB ­ VELOCIDADE 3.0 85235190 000 5557 UN 50 54,92 2.746,00 2.746,00 494,28;274.600;50;54.92;2.746.00;28/07/2025
0760753 - OV_13302900.pdf;113302900;1P02137M7;1P02137M7 CHAVE DE FENDA 1/8X4 82054000 200 5557 UN 40 6,95 278,00 278,00 50,04;27800;40;6.95;278.00;28/07/2025
0760753 - OV_13302900.pdf;113302900;1X00648M9E;1X00648M9E PULSEIRA ANTI­ ESTÁTICA CASADOR DE IMPEDÂNCIA 85444900 000 5557 UN 40 16,99 679,60 679,60 122,33;67960;40;16.99;679.60;28/07/2025
0760753 - OV_13302900.pdf;113302900;2U20146M3;2U20146M3 PASTA TERMICA E 29319029 000 5557 UN 50 22,56 1.128,00 1.128,00 203,04;112.800;50;22.56;1.128.00;28/07/2025
0760753 - OV_13302900.pdf;113302900;1X00620M8E;1X00620M8E ESTILETE STANDARD LIGHT 82119390 000 5557 UN 30 13,32 399,60 399,60 71,93;39960;30;13.32;399.60;28/07/2025
0760753 - OV_13302900.pdf;113302900;1P02137M8_2;1P02137M8_2 CHAVE TORX C/CABO T8X60MM 82054000 060 5557 UN 10 14,16 141,60 0,00 0,00;0;10;14.16;141.60;28/07/2025
0760753 - OV_13302900.pdf;113302900;1P02138M1_N6;1P02138M1_N6 CHAVE TORX C/CABO T15X80MM 82054000 060 5557 UN 20 23,29 465,80 0,00 0,00;0;20;23.29;465.80;28/07/2025
0760753 - OV_13302900.pdf;113302900;1P02137M9_2;1P02137M9_2 CHAVE TORX C/CABO T25X100MM 82054000 060 5557 UN 20 21,83 436,60 0,00 0,00;0;20;21.83;436.60;28/07/2025
0760753 - OV_13302900.pdf;113302900;1X00646M5E;1X00646M5E CHAVE PHILIPS N1 BIT 82079000 000 5557 UN 30 2,58 77,40 77,40 13,93;7740;30;2.58;77.40;28/07/2025
0760753 - OV_13302900.pdf;113302900;1P02137M2;1P02137M2 SPUDGER ESD ESPATULA BLACK SMITH POWER 39269090 000 5557 UN 50 10,05 502,50 502,50 90,45;50250;50;10.05;502.50;28/07/2025
0760753 - OV_13302900.pdf;113302900;2U20146M1;2U20146M1 KIT ESPATULA E 82055100 000 5557 UN 20 24,94 498,80 498,80 89,78;49880;20;24.94;498.80;28/07/2025
0760753 - OV_13302900.pdf;113302900;1P02137M4_N2;1P02137M4_N2 PINCEL ANTIESTATICO ESTREITO 96034090 000 5557 UN 40 14,82 592,80 592,80 106,70;59280;40;14.82;592.80;28/07/2025
0760956 - OV_13345197.pdf;113345197;1C00297M3;1C00297M3 JAQUETA PRETA FEMININA NYLON G1 61013000 000 5557 UN 2 117,97 235,94 235,94 42,47;23594;2;117.97;235.94;01/08/2025
0760956 - OV_13345197.pdf;113345197;1C00297M5;1C00297M5 JAQUETA PRETA FEMININA NYLON GG 61044200 000 5557 UN 2 117,98 235,96 235,96 42,47;23596;2;117.98;235.96;01/08/2025
0760956 - OV_13345197.pdf;113345197;1C00297M7;1C00297M7 JAQUETA PRETA FEMININA NYLON G 61044200 000 5557 UN 2 117,98 235,96 235,96 42,47;23596;2;117.98;235.96;01/08/2025
0760956 - OV_13345197.pdf;113345197;1C00297M8;1C00297M8 JAQUETA PRETA FEMININA NYLON M 61044200 000 5557 UN 2 117,97 235,94 235,94 42,47;23594;2;117.97;235.94;01/08/2025
0760956 - OV_13345197.pdf;113345197;1C00297M9;1C00297M9 JAQUETA PRETA FEMININA NYLON P 61044200 000 5557 UN 2 117,39 234,78 234,78 42,26;23478;2;117.39;234.78;01/08/2025
0760956 - OV_13345197.pdf;113345197;1C00298M1;1C00298M1 JAQUETA PRETA FEMININA NYLON PP 62034200 000 5557 UN 2 117,98 235,96 235,96 42,47;23596;2;117.98;235.96;01/08/2025
0760956 - OV_13345197.pdf;113345197;1C00301M7;1C00301M7 JAQUETA PRETA MASCULINA NYLON G1 62034300 000 5557 UN 2 117,97 235,94 235,94 42,47;23594;2;117.97;235.94;01/08/2025
0760956 - OV_13345197.pdf;113345197;1C00301M8;1C00301M8 JAQUETA PRETA MASCULINA NYLON EXG 61044200 000 5557 UN 10 117,97 1.179,70 1.179,70 212,35;117.970;10;117.97;1.179.70;01/08/2025
0760956 - OV_13345197.pdf;113345197;1C00301M9;1C00301M9 JAQUETA PRETA MASCULINA NYLON GG 61044200 000 5557 UN 3 117,97 353,91 353,91 63,70;35391;3;117.97;353.91;01/08/2025
0760956 - OV_13345197.pdf;113345197;1C00302M1;1C00302M1 JAQUETA PRETA MASCULINA NYLON G 61044200 000 5557 UN 10 117,97 1.179,70 1.179,70 212,35;117.970;10;117.97;1.179.70;01/08/2025
0760956 - OV_13345197.pdf;113345197;1C00302M2;1C00302M2 JAQUETA PRETA MASCULINA NYLON M 61044200 000 5557 UN 10 117,97 1.179,70 1.179,70 212,35;117.970;10;117.97;1.179.70;01/08/2025
0760956 - OV_13345197.pdf;113345197;1P02164M8;1P02164M8 CALÇADO SEGURANÇA BICO DE AÇO 43 CA 43339 64034000 500 5557 UN 3 54,12 162,36 162,36 29,22;16236;3;54.12;162.36;01/08/2025
0760956 - OV_13345197.pdf;113345197;1P02165M1;1P02165M1 CALÇADO SEGURANÇA BICO DE AÇO 41 CA 43339 64034000 500 5557 UN 5 53,96 269,80 269,80 48,56;26980;5;53.96;269.80;01/08/2025
0760956 - OV_13345197.pdf;113345197;1P02164M9;1P02164M9 CALÇADO SEGURANÇA BICO DE AÇO 42 CA 43339 64034000 500 5557 UN 5 54,08 270,40 270,40 48,67;27040;5;54.08;270.40;01/08/2025
0760956 - OV_13345197.pdf;113345197;1P02165M2;1P02165M2 CALÇADO SEGURANÇA BICO DE AÇO 40 CA 43339 64034000 500 5557 UN 5 54,12 270,60 270,60 48,71;27060;5;54.12;270.60;01/08/2025
0760956 - OV_13345197.pdf;113345197;1P02165M3;1P02165M3 CALÇADO SEGURANÇA BICO DE AÇO 39 CA 43339 64034000 500 5557 UN 5 54,12 270,60 270,60 48,71;27060;5;54.12;270.60;01/08/2025
